method,policy,candidate_depth,selected_document_count,total_bytes_per_vector,refinement_latency_ms_per_query,refined_candidate_occurrences,mean_top10_overlap_with_exact,recall_at_10,mrr_at_10,ndcg_at_10,heldout_relevant_drop_events,heldout_recovered_drop_events,heldout_relevant_drop_recovery_rate,residual_pq_m,residual_codebook_bytes,residual_codebook_avg_bytes_per_vector,residual_code_payload_avg_bytes_per_vector,sidecar_metadata_avg_bytes_per_vector,selected_fraction,selected_residual_mse,selected_residual_mean_cosine,storage_budget_target_bytes_per_vector
fixed_budget_residual_pq_m32,random_sidecar,50,26449,47.99979180401818,0.06514165586451534,15092,0.4702651515151515,0.31676320838252653,0.3161593614718615,0.25677317132176725,206,45,0.21844660194174756,16.0,393216.0,6.8221659321975086,7.342100697456539,1.8355251743641348,0.4588812935910337,0.00023429648717865348,0.5577182173728943,48.0
fixed_budget_residual_pq_m32,reconstruction_error_sidecar,20,26449,47.99979180401818,0.017831830246557077,1796,0.4424242424242424,0.30239857995539815,0.3263468013468014,0.25838435042289293,206,18,0.08737864077669903,16.0,393216.0,6.8221659321975086,7.342100697456539,1.8355251743641348,0.4588812935910337,0.000288968876702711,0.5603245496749878,48.0
fixed_budget_residual_pq_m32,reconstruction_error_sidecar,50,26449,47.99979180401818,0.03288312808746451,4736,0.453219696969697,0.31946658139839956,0.331404822029822,0.2677523813348524,206,37,0.1796116504854369,16.0,393216.0,6.8221659321975086,7.342100697456539,1.8355251743641348,0.4588812935910337,0.000288968876702711,0.5603245496749878,48.0
fixed_budget_residual_pq_m32,calibration_candidate_distortion_sidecar,20,14694,47.99986120267879,0.03969766820925239,9172,0.47291666666666665,0.30266463334645155,0.31975859788359795,0.2514720878921647,206,19,0.09223300970873786,32.0,393216.0,6.8221659321975086,8.157951351538916,1.0197439189423645,0.2549359797355911,0.00015023953164927661,0.7250685095787048,48.0
fixed_budget_residual_pq_m32,calibration_candidate_distortion_sidecar,50,14694,47.99986120267879,0.08580048765514131,22320,0.4804924242424242,0.2991848271677817,0.3169034090909091,0.2489952859503644,206,31,0.15048543689320387,32.0,393216.0,6.8221659321975086,8.157951351538916,1.0197439189423645,0.2549359797355911,0.00015023953164927661,0.7250685095787048,48.0
fixed_budget_residual_pq_m32,calibration_drop_risk_sidecar,20,14694,47.99986120267879,0.04374569598832839,4795,0.4579545454545455,0.30697109077790896,0.31682674963924967,0.24763046525281054,206,21,0.10194174757281553,32.0,393216.0,6.8221659321975086,8.157951351538916,1.0197439189423645,0.2549359797355911,0.00016145592962857336,0.7251389026641846,48.0
fixed_budget_residual_pq_m32,calibration_drop_risk_sidecar,50,14694,47.99986120267879,0.08663590277693503,10929,0.4744318181818182,0.3071807769250951,0.31507936507936507,0.2461112784555967,206,30,0.14563106796116504,32.0,393216.0,6.8221659321975086,8.157951351538916,1.0197439189423645,0.2549359797355911,0.00016145592962857336,0.7251389026641846,48.0
fixed_budget_residual_pq_m32,random_sidecar,20,14694,47.99986120267879,0.02339134104861134,3248,0.44962121212121214,0.30186339859635314,0.3121911075036075,0.24864609856760866,206,14,0.06796116504854369,32.0,393216.0,6.8221659321975086,8.157951351538916,1.0197439189423645,0.2549359797355911,0.00016301944560837,0.7250730395317078,48.0
fixed_budget_residual_pq_m32,random_sidecar,50,14694,47.99986120267879,0.04470712191404244,8217,0.465530303030303,0.3087424570379116,0.31618867243867244,0.2531788205862763,206,29,0.1407766990291262,32.0,393216.0,6.8221659321975086,8.157951351538916,1.0197439189423645,0.2549359797355911,0.00016301944560837,0.7250730395317078,48.0
fixed_budget_residual_pq_m32,reconstruction_error_sidecar,20,14694,47.99986120267879,0.013199384258971096,486,0.4339015151515151,0.29074634330316146,0.31190175565175565,0.24587015845206997,206,2,0.009708737864077669,32.0,393216.0,6.8221659321975086,8.157951351538916,1.0197439189423645,0.2549359797355911,0.00023106586013454944,0.7249751687049866,48.0
